,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT,PWEIGHT
RSNNOWRK,1,2,3,4,5,6,7,8,9,10,11,12,13
WHYNOT1,742.40974820743,206.322277417642,86.92391026155997,1841.039833030545,138.94664246014003,931.7775562531407,1955.3816808029899,879.6571153781658,1217.0358119356715,355.27665480476503,361.903215505612,2819.5744035366793,503.95163331525794
WHYNOT2,310.64109360043,132.06890872377,55.75873613493,582.4228568414901,28.56824424028,297.75227261002095,675.251209558349,384.64614654381603,498.2388128661099,223.93751261953497,141.68282270630996,1122.020230761429,222.311766707198
WHYNOT4,247.14692901387,72.47341174089999,10.318676184600001,290.7824198606499,15.04478721036,200.88833020532098,519.1157980675102,295.2592859449599,182.39023222131001,275.32558603184503,70.763431936269,584.9502651826941,22.251130726188
WHYNOT5,84.27201644244,43.710644462742,4.75530275656,113.07233066322999,42.80167528668,161.88524805373999,240.51386666391016,93.840762447076,128.86170183079,45.4909904366,61.415609915162,322.088062631041,75.4074605048
WHYNOT6,712.1333057584401,337.22986177506,105.67898842427999,1581.8451289359944,242.35228250963996,884.6992625311408,1625.3544841587384,752.8772162081158,1094.5722510467358,485.10835824979,450.63237282912104,2733.114214579551,416.9507191799381
WHYNOT7,531.5229690808598,105.13346163748001,81.03317960546998,646.0139692054701,122.75191317649,383.31205543043995,568.6294503566312,426.1690849426562,488.54699380165,123.44581719520997,302.8096688000201,1621.3181081905498,187.01989923173997
WHYNOT8,153.66596752418,9.3849895882,0.45538706705,166.43710829301003,29.312707050999997,96.199639993991,168.62065339005994,184.76350879231597,99.55674876201002,121.97123832358999,86.9160775274,328.241192876778,64.31311162788
WHYNOT9,304.19272640443995,165.55246263722998,85.78186230659,684.4764774876548,93.70504256001999,426.898225274822,1003.8202877704487,411.122135272896,603.29834842451,269.45133442855496,203.92100577188,1361.6347209110395,185.326921151288
WHYNOT10,395.85524318918993,74.03586215229,10.622440060819999,586.4460247330298,100.84253216568999,428.30275652598993,1009.4278370379984,318.735176648396,542.6227475210799,184.980290466745,178.04750302212003,1213.2545549190834,172.842431910178
WHYNOT3,290.90217776898004,53.214741702880005,1.6612482920599998,384.0317272063701,113.79659734124999,263.14517782319,620.8915930097296,261.202871223316,352.1694884773801,224.59952892764494,175.50900624877198,1019.2690706103615,111.74203170226
WHYNOTB1,160.40387367042004,46.26677255928001,0.34310202815999996,162.15359529714001,34.68279253499999,8.883762275199999,104.55307743867003,35.823817582240004,93.42196801841003,95.6716065759,120.20052720242,273.95419212581396,1.0583362211
WHYNOTB2,164.07426050552,24.70769936739,0.34310202815999996,170.50241016212993,46.36301566885,22.860570724569996,198.3916593698,93.43716734530601,115.22942444459002,144.49837956111003,42.31470450400099,544.0166240864329,73.22191063950001
WHYNOTB3,122.39592585797999,8.9684905165,,122.36683924676002,73.65216255388,103.62450818705,145.94945398582,83.65438168445002,137.58011102471002,134.1780096361,5.876737857051001,173.62503113562997,66.80292177259999
WHYNOTB4,83.04984408235998,0.39886126144999995,,43.475350546170006,39.92941146875,24.29198720707,238.80833775589002,125.198473357746,58.75463134097999,95.78191870054998,33.846197507501,412.738131412769,0.7997496628
WHYNOTB5,118.95440688059999,0.39886126144999995,1.3181462639,131.21158985510002,31.36963338552,98.48206281040001,138.63787193806,68.64867845974601,83.80009785717999,97.32433542432499,120.05298434820001,183.60755962144898,28.56381383
WHYNOTB6,9.276677847329998,6.9479691436,,63.93402053491,6.9730227932,54.98696921557001,124.47180817966,39.51199137588,50.44929985296001,21.90326770086,16.280320969020003,249.31456936418797,12.914569116759997
